Pavadinimas,Autorius,Publikavimo duomenys
The feasibility of the indocyanine green mapped sentinel lymph node biopsy evaluating the extent of endometrial cancer,"Gedgaudaitė, Miglė","Kaunas : [Lithuanian University of Health Sciences], 2023"
The prevalence of anthelmintic resistance and analysis of control of Strongylidae nematode infections on Lithuanian horse farms,"Dovydauskienė, Evelina","Kaunas : [Lithuanian University of Health Sciences], 2023"
Carrie Soto is back,"Reid, Taylor Jenkins","New York, N.Y. : Ballantine Books, [2023]"
Ankstyvosios repoliarizacijos ir transtorakalinės impedanso kardiografijos diagnozinė ir prognozinė reikšmė esant lėtiniam širdies nepakankamumui,"Ališauskas, Andrius","Kaunas : [Lietuvos sveikatos mokslų universitetas], 2023"
Toksikologo užrašai,"Badaras, Robertas","Vilnius : Tyto alba, 2023"
100 exercises for developing communication skills at school,"Lagūnavičius, Tomas","[Kaunas] : T. Lagūnavičius, 2023"
100 exercises for improving cognitive skills at school,"Lagūnavičius, Tomas","[Kaunas] : T. Lagūnavičius, 2023"
Žmonių šešėliai,"Mukherjee, Abir",2023
Fashion on the Red Carpet,"Lundén, Elizabeth Castaldo","Edinburgh : Edinburgh University Press, 2023"
The Eyebrows of Doom,"Smallman, Steve","London : Little Tiger Press, 2023"
"Šuo, kuris matė Dievą","Buzzati, Dino (1906–1972)",2023
Rytmečio užrašai,"Skurvydas, Albertas","Kaunas : Vitae Litera, [2023]"
Potvyniai,"Gregory, Philippa","Vilnius : BALTO leidybos namai, 2023"
Де ховаються єдинороги,"Ольховська, Олена","[Харкiв : Ранок], 2023"
Pirmoji aktorė,"Gortner, Christopher W.","Vilnius : Alma littera, 2023"
Sužalota,"Wardere, Hibo","Vilnius : Alma littera, 2023"
Towards the light,"Bitinaitė, Rugilė Marija","Kaunas : Ridsales, 2023"
Tora,"Wassmo, Herbjørg","Vilnius : Alma littera, 2023-"
Tapatybė,"Roberts, Nora","Kaunas : Jotema, [2023]"
Ragana Lilė ir Kalėdų burtai,Knister,"Vilnius : Alma littera, 2023"
Iki vakaro toli nueisiu,"Vaičiulis, Ignas","Kaunas : Ridsales, 2023"
Švyturys tarp dviejų vandenynų,"Stedman, M.L.","Vilnius : Alma littera, 2023"
Pergalės miestas,"Rushdie, Salman","Vilnius : Sofoklis, 2023"
Sea of Tranquility,"Mandel, Emily St. John","New York : Vintage Books, 2023"
"Tomorrow, and tomorrow, and tomorrow","Zevin, Gabrielle","New York : Vintage Books, [2023]"
Frankenšteino efektas,"Barceló, Elia",2023
The crayons go back to school,"Daywalt, Drew","New York : Philomel, 2023"
Muslim masculinities in literature and film,"Cherry, Peter","London [etc.] : I.B.Tauris, 2023"
Tamsos medžiotojas,"Carrisi, Donato","Vilnius : Sofoklis, 2023"
Ponas Sniegas,"Villiot, Bernard","[Vilnius] : „Baltų lankų“ leidyba, [2023]"
Алмази з Танжера,"Винничук, Юрій Павлович","Харкiв : Фабула, 2023"
Atsiminimai,"Vaitkus, Mykolas (1883–1973)","Klaipėda : S. Jokužio leidykla-spaustuvė, 2023"
Клич iндички,"Стеблiвськийй, Євген","Харкiв : Фабула, 2023"
Trojos moterys,"Barker, Pat","Vilnius : „Baltų lankų“ leidyba, [2023]"
Пес Патрон i Шкарпетковий Монстр,"Ран, Юлiта","Харкiв : Ранок, 2023"
Asmeninio profesinio tobulėjimo sistema mokykloje: mokytojų profesinio augimo patirtys,"Kaunickienė, Natalija","Vilnius : Vilniaus universiteto leidykla, 2023"
Lietuvių kalbos vardažodinių asmenų pavadinimų darybiniai sinonimai ir darybiniai variantai,"Gaudinskaitė, Danguolė","Vilnius : Vilniaus universiteto leidykla, 2023"
Tykantis tamsoje,"Lovecraft, Howard Phillips (1890–1937)","[Vilnius] : Kitos knygos, [2023]"
Bjauri meilė,"Hoover, Colleen","Vilnius : „Baltų lankų“ leidyba, [2023]"
"Inkstų veiklos ir jos funkcijai turinčių įtakos veiksnių nustatymo tyrimas po radikalios nefrektomijos ir inkstų rezekcijos, gydant onkologinius ligonius","Makevičius, Jurijus","Vilnius : Vilniaus universiteto leidykla, 2023"
Uzumaki,"Itō, Junji","San Fransisco : VIZ Media, 2023"
Smogiko išpažintis,"Milinis, Mindaugas","Vilnius : Alma littera, 2023"
"Evaluation of the adsorption properties of composite materials for caesium, cobalt, and europium","Novikau, Raman","Vilnius : Vilnius University Press, 2023"
Elie Wiesel,"Berger, Joseph","New Haven : Yale University Press, [2023]"
Gyvenimo grožio pakylėti; Čia visas Nemunas,"Jurkonis, Pranas","Kaunas : Ridsales, 2023"
"You, bleeding childhood","Mari, Michele","Sheffield : And Other Stories, 2023"
Honeybees and distant thunder,"Onda, Riku","[London] : Doubleday, 2023"
Nails and Eyes,"Fujino, Kaori","London : Pushkin Press, 2023"
Molecular mechanisms shaping neuronal networks during brain development and in neuropathologies,"Kuliešiūtė, Ugnė","Vilnius : Vilniaus universiteto leidykla, 2023"
Time's echo,"Eichler, Jeremy","New York : Alfred A. Knopf, 2023"
Life and afterlife in ancient China,"Rawson, Jessica","[London] : Allen Lane, 2023"
Projekto „Lengvi batai“ patyrimų knyga,"Pinskienė, Kristina","Kaunas : Eurispauda, 2023"
Mabel and the Mountain,"Hillyard, Kim","London : Penguin, 2023"
Megamonster,"Walliams, David","London : HarperCollins Children's Books, 2023"
Quantitative and qualitative characterisation of microplastics in organic waste flows and landfills,"Sholokhova, Anastasiia","Kaunas : Kauno technologijos universitetas, 2023"
Ryžių malimo šalutinių produktų perdirbimas į didesnės pridėtinės vertės komponentus taikant apdorojimo ultragarsu ir mikrobinės fermentacijos metodus,"Jukonytė, Rūta","Kaunas : Kauno technologijos universitetas, 2023"
Confessions of an enterprise architect,"Bowman, Charles F.","Boca Raton, Fla. [etc.] : CRC Press, Taylor & Francis Group, 2023"
High diffraction efficiency periodic microstructures for optical wavelength range: from modelling to implementation,"Žutautas, Andrius","Kaunas : Kauno technologijos universitetas, 2023"
Managing community resettlement,"Gerrits, Robert","London : Routledge, Taylor & Francis Group, 2023"
Civilizations of the Silk Road,"Zhang, Xin Gang","London, 2023"
AI for scientific discovery,"Hastings, Janna","Boca Raton, Fla. [etc.] : CRC Press, Routledge, Taylor & Francis Group, 2023"
Dovanos aktas,"Šuliauskas, Alfonsas (1938–2017)","[Druskininkai] : [Druskininkų miesto muziejus], [2023]"
"Teaching communication, skills and competencies for the international workplace","Gimenez, Julio","New York, N.Y. : Routledge, Taylor & Francis Group, 2023"
Media analytics,"Hollifield, C. Ann","New York, N.Y. : Routledge, Taylor & Francis Group, 2023"
Development of sensors and biosensors based on Prussian blue and cobalt hexacyanoferrate,"Virbickas, Povilas","Vilnius : Vilniaus universiteto leidykla, 2023"
A guide to the plays of Bernard Shaw,"Purdom, Charles Benjamin (1883–1965)","London : Routledge, Taylor & Francis Group, 2023"
Law and economics,"Tejani, Riaz","London : Routledge, Taylor & Francis Group, 2023"
Risk analytics,"Rodríguez Taborda, Eduardo","Boca Raton, Fla. [etc.] : CRC Press, Taylor & Francis Group, 2023"
Debesimis atplaukia prisiminimai,"Kalinauskienė, Danutė","Marijampolė : D. Kalinauskienė, 2023"
Lemtingos Kalėdos,"Walsh, Catherine","Vilnius : Sofoklis, 2023"
One Hungry Dragon,"Chisholm, Alastair","Britain : HODDER CHILDREN'S BOOKS, 2023"
Katalikybės vaidmuo kasdieniame mąstyme apie Europos Sąjungą: Lietuvos atvejis,"Garškaitė-Antonowicz, Rosita","Vilnius : Vilniaus universiteto leidykla, 2023"
Additive manufacturing of inorganic 3D nanostructures by combining laser lithography and pyrolysis,"Merkininkaitė, Greta","Vilnius : Vilnius University Press, 2023"
Traukiniu į dangų,"Margelis, Gintaras","Kazlų Rūda [i.e. Kaunas] : Spaustuvė „Spalvų kraitė“, 2023"
Rhinos Don't Cry,"Grist, Mark","London : BLOOMSBURY CHILDREN'S BOOKS, 2023"
Stories of Tails and Whiskers,"Blyton, Enid (1896–1968)","London : Hodder, 2023"
Verslo organizacijų interneto svetainių lankytojų srauto modeliavimas įtraukiosios rinkodaros kontekste,"Davidavičius, Sigitas","Vilnius : Mykolo Romerio universitetas, 2023"
Virsti vilku,"Ekman, Kerstin","[Vilnius] : [„Baltų lankų“ leidyba], [2023]"
Angelai velnio sparnais,"Peleckis-Kaktavičius, Leonas","Šiauliai : Saulės Titnagas, [2023]"
Dingusių mandarinų byla,"Dirgėla, Tomas","Vilnius : Tyto alba, 2023"
Accuracy of dental implant navigation techniques and biocompatibility of materials used for immediate prostheses,"Borusevičius, Rokas","Vilnius : Vilniaus universiteto leidykla, 2023"
Šampanės vynuogynai,"Blackwell, Juliet","Vilnius : Sofoklis, 2023"
Našlaitė iš Varšuvos,"Rimmer, Kelly","Vilnius : Sofoklis, 2023"
Ką Dvasia kalba Bažnyčiai,"Lassus, Alain-Marie de","Vilnius : Magnificat leidiniai, [2023]"
Tūkstantis saulių skaisčių,"Hosseini, Khaled","Vilnius : Alma littera, 2023"
Neįtikėtinos Baskervilių dvaro istorijos,"Standish, Ali","Vilnius : Alma littera, 2023"
Revolting rhymes,"Dahl, Roald (1916–1990)","[London] : Penguin Random House, [2023]"
Dykumų aušra,"Dirie, Waris","Vilnius : Alma littera, 2023"
Individualią veiklą vykdančių mokesčių mokėtojų mokestinės elgsenos vertinimas,"Jakubauskaitė, Agnė","Vilnius : Vilniaus universiteto leidykla, 2023"
Managing people in the hybrid workplace,"Maddox-Daines, Kay","London : Routledge, Taylor & Francis Group, 2023"
Creating the reflective habit,"Lucas, Michelle","London : Routledge, Taylor & Francis Group, 2023"
Medieval philosophy,"Arlig, Andrew W.","London : Routledge, Taylor & Francis Group, 2023"
"Kasdienis gyvenimas vokiečių okupuotoje Lietuvoje 1941–1944 m.: buitis, mityba, sveikata","Šikšnianas, Mantas","Vilnius : Lietuvos istorijos institutas, 2023"
Social media theory and communications practice,"Lehmann, Whitney S.","New York, N.Y. : Routledge, Taylor & Francis Group, 2023"
Henry Fielding,"Battestin, Martin C. (1930–2015)","London : Routledge, Taylor & Francis Group, 2023"
Creating digital exhibits for cultural institutions,"Marsh, Emily E.","London : Routledge, Taylor & Francis Group, 2023"
Strategic negotiation: building organizational excellence,"Gordon, Joshua A.","New York, N.Y. : Routledge, Taylor & Francis Group, 2023"
Chirurgė,"Wolfe, Leslie","Vilnius : Sofoklis, 2023"
Virsti vilku,"Ekman, Kerstin","Vilnius : „Baltų lankų“ leidyba, [2023]"
"Elektrinio, hibridinio ir įprastų keleivinių automobilių vertinimas taikant būvio ciklo požiūrį","Petrauskienė, Kamilė","Kaunas : Kauno technologijos universitetas, 2023"
Matematikos testai 2 klasei,"Bortkevičius, Audronis","Panevėžys : Magilė, 2023"
Emocinio intelekto plėtojimas praktikuojant dėmesingą įsisąmoninimą,"Naudužienė, Gitana","Vilnius : Mykolo Romerio universitetas, 2023"
Der nasse Fisch,"Kutscher, Volker","München : Piper, [2023]"
Association between suicidality and masculinity,"Grigienė, Dovilė","Vilnius : Vilnius University Press, 2023"
Gyventojų elgsena ir jos poveikis šiltnamio efektą sukeliančių dujų emisijoms Lietuvoje ES kontekste,"Jakučionytė-Skodienė, Miglė","Kaunas : [Vytauto Didžiojo universitetas], 2023"
Protecting what's  mine,"Score, Lucy","[London] : Hodder & Stougghton Ltd, [2023]"
Ex libris Elvyra Pažemeckaitė,"Mazūras, Henrikas","Panevėžys, 2023"
Ex libris Pal. T. Matulionis – 150. Pal. T. Matulionis (1873–1962) – kankinys dėl tikėjimo,"Mazūras, Henrikas","Panevėžys, 2023"
Ex libris TIM 75. Muziejus – atminties sergėtojas,"Mazūras, Henrikas","Panevėžys, 2023"
The Boys from Biloxi,"Grisham, John","London : Hodder, 2023"
Užutrakio dvaro vaismedžių sodas – gyvoji istorija,"Gelvonauskienė, Dalia","Vilnius : [Kriventa], 2023"
The worst best man,"Score, Lucy","[London] : Hodder & Stougghton Ltd, [2023]"
Sakralioji Žygaičių kapinių erdvė,"Bliūdžiuvienė, Regina","Kaišiadorys : Printėja, 2023"
