Pavadinimas,Autorius,Publikavimo duomenys
Laisvės kultūra,"Kavolis, Vytautas (1930–1996)","[Vilnius] : Odilė, [2023]"
Lietuvių kalba ir literatūra,"Kuodienė, Rūta","Kaunas : Šviesa, 2023-"
Matematika,"Bružienė, Sonata","Kaunas : Šviesa, 2023-"
Viskas iš karto,"Leno, Katrina","Vilnius : Nieko rimto, 2023"
Šis tas apie medūzas,"Benjamin, Ali","Vilnius : Nieko rimto, 2023"
Korano skaitymo pagrindinės taisyklės,"Beganskas, Aleksandras","Vilnius : Lietuvos musulmonų religinių bendruomenių taryba-Muftiatas, 2023"
5 minučių pasakos 4 metų vaikams,"Dean, Lindsey","Kaunas : Vaiga, [2023]"
Pribuvėjos paslaptis,"Gunnis, Emily","Vilnius : Tyto alba, 2023"
Kūriniai fortepijonui,"Dvarionas, Balys (1904–1972)","Vilnius : [Inter Se], 2023"
Bobausis be ausų,"Jakaitė-Bulbukienė, Kristina","Vilnius : Labdaros ir paramos fondas „Švieskime vaikus“, 2023"
Dangiškosios kūrinijos nektare,"Pėveraitytė-Giraitienė, Biruta","Marijampolė : [TeleSATpressa], 2023"
Geležinės širdies Violeta,"Barnhill, Kelly Regan","Vilnius : Nieko rimto, 2023"
Kiaulė pas kirpėją ir kitos istorijos,"Kästner, Erich (1899–1974)","Vilnius : Alma littera, 2023"
Juoda ranka,"Vilė, Jurga","Vilnius : AMK, 2023"
Kario individualių įgūdžių tobulinimo vadovas,"Eitutis, Vidmantas","Vilnius : Generolo Jono Žemaičio Lietuvos karo akademija, 2023"
Churkano migla,"Daškus, Arvydas","Klaipėda : Eglės leidykla, 2023"
Džiaugsmas dienų audime,"Daujotytė-Pakerienė, Viktorija","Vilnius : Tyto alba, 2023"
Lietaus upės,"Deviatnikovienė, Erminija","Vilnius : Homo liber, 2023"
Kodas „Rožė“,"Quinn, Kate","Vilnius : Alma littera, 2023"
Ežys ir jūra,Mili Joni,"Vilnius : 3 norai, 2023"
Šachas ir matas!,"Graff, Ben","Vilnius : Briedis, 2023"
Paskutinis gambitas,"Barnes, Jennifer Lynn","Vilnius : Alma littera, 2023"
Pribuvėjos sapnas,"Ebert, Sabine","Kaunas : Obuolys [i.e. Lectio divina], [2023]"
Galinių fasadų modernumas,"Česonis, Gintaras","Kaunas : Kaunas Photography Gallery, [2023]"
Bipolinis sutrikimas: išlikimo vadovas sergantiesiems,"Miklowitz, David Jay","Vilnius [i.e. Klaipėda] : Liūtai ne avys, 2023"
Siužetas,"Korelitz, Jean Hanff","Vilnius : BALTO leidybos namai, 2023"
Susitikim Kaune,"Žiūkaitė, Monika","Kaunas : Pasaulio lietuvių centras, 2023"
Harry Potter. Burtininkų almanachas,"Rowling, J.K.","Vilnius : Alma littera, 2023"
Gyvenimo raštai,"Sandgren, Lydia","Vilnius : Alma littera, 2023"
Kaip gyventi. Ką daryti,"Cohen, Josh","Vilnius : Vaga, 2023"
Kelionė link laimės,"Douglas, Michelle","Vilnius : Svajonių knygos, 2023"
Uolynų gėlė,"Tuti, Ilaria","[Vilnius] : [„Baltų lankų“ leidyba], [2023]"
"Vaikas ir jo augalas, arba Begalybė augalui","Pukinskaitė, Nijolė Simona","[Vilnius] : Dailės artelė, 2023"
Pokalbiai su draugais,"Rooney, Sally","Vilnius : Alma littera, 2023"
33 eilėraščiai,"Szymborska, Wisława (1923–2012)","Vilnius : Apostrofa, [2023]"
Lukiškės,"Vanagaitė, Rūta","Kaunas : Obuolys [i.e. Lectio divina], [2023]"
Valytoja,"Land, Stephanie","Vilnius : BALTO leidybos namai, 2023"
Ypatingų vaikų namai,"Riggs, Ransom","[Vilnius] : Alma littera, [2023]"
Kiaurymių miestas,"Riggs, Ransom","[Vilnius] : Alma littera, [2023]"
Gelmių šviesa,"Hardinge, Frances","Vilnius : Nieko rimto, 2023"
Raudonos aguonos tarp bėgių,"Semaškaitė-Boharevičienė, Marija","Kaunas : Naujasis lankas, 2023"
Užkampynė,"Zarambaitė, Ignė","Vilnius : Alma littera, 2023"
Paukščių miestas debesyse,"Doerr, Anthony","Vilnius : Alma littera, 2023"
Pavasario linksmybės,"Gaižauskaitė, Zita","Kaunas : Spaudos praktika, 2023"
Tradicijos palikimas,"Dementavičius, Justinas","Vilnius : Vilniaus universiteto leidykla, 2023"
Vaižganto asmuo ir kūryba: krikščionybės ir modernybės sąveika,"Vanagaitė, Gitana","Kaunas : Vytauto Didžiojo universitetas, 2023"
